name,party,electorate,chamber,aph_id
Senator the Hon Sarah Henderson,Liberal Party of Australia,Victoria,Senate,
Hon Julian Hill MP,Australian Labor Party,"Bruce, Victoria",House,
Senator Steph Hodgins-May,Australian Greens,Victoria,Senate,
Hon Kevin Hogan MP,The Nationals,"Page, New South Wales",House,
Mr Rowan Holzberger MP,Australian Labor Party,"Forde, Queensland",House,
Senator the Hon Jane Hume,,Victoria,Senate,
Hon Ed Husic MP,Australian Labor Party,"Chifley, New South Wales",House,
Ms Madonna Jarrett MP,Australian Labor Party,"Brisbane, Queensland",House,
Ms Alice Jordan-Baird MP,Australian Labor Party,"Gorton, Victoria",House,
Hon Barnaby Joyce MP,One Nation,"New England, New South Wales",House,
Hon Bob Katter MP,Katter's Australian Party,"Kennedy, Queensland",House,
Hon Ged Kearney MP,Australian Labor Party,"Cooper, Victoria",House,
Mr Simon Kennedy MP,Liberal Party of Australia,"Cook, New South Wales",House,
Hon Matt Keogh MP,Australian Labor Party,"Burt, Western Australia",House,
Hon Peter Khalil MP,Australian Labor Party,"Wills, Victoria",House,
Hon Catherine King MP,Australian Labor Party,"Ballarat, Victoria",House,
Hon Madeleine King MP,Australian Labor Party,"Brand, Western Australia",House,
Senator Maria Kovacic,Liberal Party of Australia,New South Wales,Senate,
Senator Jacqui Lambie,Jacqui Lambie Network,Tasmania,Senate,
Hon Michelle Landry MP,Liberal National Party of Queensland,"Capricornia, Queensland",House,
Ms Tania Lawrence MP,Australian Labor Party,"Hasluck, Western Australia",House,
Mr Jerome Laxale MP,Australian Labor Party,"Bennelong, New South Wales",House,
Ms Dai Le MP,Independent,"Fowler, New South Wales",House,
Mr Julian Leeser MP,Liberal Party of Australia,"Berowra, New South Wales",House,
Hon Dr Andrew Leigh MP,Australian Labor Party,"Fenner, Australian Capital Territory",House,
Senator Kerrynne Liddle,Liberal Party of Australia,South Australia,Senate,
Mr Sam Lim MP,Australian Labor Party,"Tangney, Western Australia",House,
Senator the Hon Sue Lines,Australian Labor Party,Western Australia,Senate,
Hon David Littleproud MP,Liberal National Party of Queensland,"Maranoa, Queensland",House,
Hon Richard Marles MP,Australian Labor Party,"Corio, Victoria",House,
Ms Zaneta Mascarenhas MP,Australian Labor Party,"Swan, Western Australia",House,
